,Feature name,Direct,Indirect,Continuous,Categorical
0,course_id,FALSE,TRUE,FALSE,TRUE
1,user_id,FALSE,TRUE,FALSE,TRUE
2,username,TRUE,FALSE,FALSE,TRUE
3,registered,FALSE,FALSE,FALSE,TRUE
4,viewed,FALSE,FALSE,FALSE,TRUE
5,explored,FALSE,FALSE,FALSE,TRUE
6,certified,FALSE,TRUE,FALSE,TRUE
7,completed,FALSE,TRUE,FALSE,TRUE
8,ip,TRUE,FALSE,FALSE,TRUE
9,cc_by_ip,FALSE,TRUE,FALSE,TRUE
10,countryLabel,FALSE,TRUE,FALSE,TRUE
11,continent,FALSE,TRUE,FALSE,TRUE
12,city,FALSE,TRUE,FALSE,TRUE
13,region,FALSE,TRUE,FALSE,TRUE
14,subdivision,FALSE,TRUE,FALSE,TRUE
15,postalCode,FALSE,TRUE,FALSE,TRUE
16,un_major_region,FALSE,TRUE,FALSE,TRUE
17,un_economic_group,FALSE,TRUE,FALSE,TRUE
18,un_developing_nation,FALSE,TRUE,FALSE,TRUE
19,un_special_region,FALSE,TRUE,FALSE,TRUE
20,latitude,FALSE,TRUE,TRUE,FALSE
21,longitude,FALSE,TRUE,TRUE,FALSE
22,LoE,FALSE,TRUE,FALSE,TRUE
23,YoB,FALSE,TRUE,FALSE,TRUE
24,gender,FALSE,TRUE,FALSE,TRUE
25,grade,FALSE,TRUE,TRUE,FALSE
26,passing_grade,FALSE,FALSE,TRUE,FALSE
27,start_time,FALSE,FALSE,FALSE,TRUE
28,first_event,FALSE,FALSE,TRUE,FALSE
29,last_event,FALSE,FALSE,TRUE,FALSE
30,nevents,FALSE,FALSE,FALSE,TRUE
31,ndays_act,FALSE,FALSE,FALSE,TRUE
32,nplay_video,FALSE,FALSE,FALSE,TRUE
33,nchapters,FALSE,FALSE,FALSE,TRUE
34,nforum_posts,FALSE,TRUE,FALSE,TRUE
35,nforum_votes,FALSE,TRUE,FALSE,TRUE
36,nforum_endorsed,FALSE,TRUE,FALSE,TRUE
37,nforum_threads,FALSE,TRUE,FALSE,TRUE
38,nforum_comments,FALSE,TRUE,FALSE,TRUE
39,nforum_pinned,FALSE,TRUE,FALSE,TRUE
40,roles,FALSE,TRUE,FALSE,TRUE
41,nprogcheck,FALSE,FALSE,FALSE,TRUE
42,nproblem_check,FALSE,FALSE,FALSE,TRUE
43,nforum_events,FALSE,FALSE,FALSE,TRUE
44,mode,FALSE,TRUE,FALSE,TRUE
45,is_active,FALSE,FALSE,FALSE,TRUE
46,cert_created_date,FALSE,TRUE,FALSE,TRUE
47,cert_modified_date,FALSE,TRUE,FALSE,TRUE
48,cert_status,FALSE,TRUE,FALSE,TRUE
49,verified_enroll_time,FALSE,FALSE,TRUE,FALSE
50,verified_unenroll_time,FALSE,FALSE,TRUE,FALSE
51,profile_country,FALSE,TRUE,FALSE,TRUE
52,y1_anomalous,FALSE,FALSE,FALSE,TRUE
53,email_domain,FALSE,TRUE,FALSE,FALSE
54,language_brwsr,FALSE,TRUE,FALSE,TRUE
55,language_brwsr_country,FALSE,TRUE,FALSE,TRUE
56,language_brwsr_sec,FALSE,TRUE,FALSE,TRUE
57,language_brwsr_sec_country,FALSE,TRUE,FALSE,TRUE
58,language_brwsr_code,FALSE,TRUE,FALSE,TRUE
59,language_brwsr_subcode,FALSE,TRUE,FALSE,TRUE
60,language_brwsr_sec_code,FALSE,TRUE,FALSE,TRUE
61,language_brwsr_sec_subcode,FALSE,TRUE,FALSE,TRUE
62,language_brwsr_nevents,FALSE,FALSE,FALSE,TRUE
63,language_brwsr_ndiff,FALSE,FALSE,FALSE,TRUE
64,language,FALSE,FALSE,FALSE,TRUE
65,language_download,FALSE,FALSE,FALSE,TRUE
66,language_nevents,FALSE,FALSE,FALSE,TRUE
67,language_ndiff,FALSE,FALSE,FALSE,TRUE
68,ntranscript,FALSE,FALSE,FALSE,TRUE
69,nshow_answer,FALSE,FALSE,FALSE,TRUE
70,nvideo,FALSE,FALSE,FALSE,TRUE
71,nvideos_unique_viewed,FALSE,FALSE,FALSE,TRUE
72,nvideos_total_watched,FALSE,FALSE,FALSE,TRUE
73,nseq_goto,FALSE,FALSE,FALSE,TRUE
74,nseek_video,FALSE,FALSE,FALSE,TRUE
75,npause_video,FALSE,FALSE,FALSE,TRUE
76,avg_dt,FALSE,FALSE,TRUE,FALSE
77,sdv_dt,FALSE,FALSE,TRUE,FALSE
78,max_dt,FALSE,FALSE,TRUE,FALSE
79,n_dt,FALSE,FALSE,FALSE,FALSE
80,sum_dt,FALSE,FALSE,TRUE,FALSE
81,roles_isBetaTester,FALSE,TRUE,FALSE,TRUE
82,roles_isInstructor,FALSE,TRUE,FALSE,TRUE
83,roles_isStaff,FALSE,TRUE,FALSE,TRUE
84,roles_isCCX,FALSE,TRUE,FALSE,TRUE
85,roles_isFinance,FALSE,TRUE,FALSE,TRUE
86,roles_isLibrary,FALSE,TRUE,FALSE,TRUE
87,roles_isSales,FALSE,TRUE,FALSE,TRUE
88,forumRoles_isAdmin,FALSE,TRUE,FALSE,TRUE
89,forumRoles_isCommunityTA,FALSE,TRUE,FALSE,TRUE
90,forumRoles_isModerator,FALSE,TRUE,FALSE,TRUE
91,forumRoles_isStudent,FALSE,TRUE,FALSE,TRUE